date,block,primary_type,description,location_description,arrest,domestic,fbi_code,year,longitude,latitude
2020-07-16 18:00:00 UTC,110XX S GREEN BAY AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.541327956,41.694971949
2020-08-07 11:00:00 UTC,089XX S CRANDON AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.568330657,41.733053891
2020-09-02 16:29:00 UTC,041XX S ELLIS AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.602250495,41.819124344
2020-09-16 17:00:00 UTC,132XX S LANGLEY AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.605093469,41.654711652
2020-05-31 04:00:00 UTC,035XX W GLENLAKE AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.718241888,41.991991119
2020-09-09 17:37:00 UTC,018XX W 35TH ST,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,06,2020,-87.670923807,41.830441145
2020-08-07 15:00:00 UTC,040XX E 134TH ST,THEFT,OVER $500,RESIDENCE,false,true,06,2020,-87.527258234,41.651431329
2020-09-04 07:00:00 UTC,063XX N KEELER AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.733763423,41.99610446
2020-08-22 21:00:00 UTC,051XX S WENTWORTH AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.630703621,41.80171934
2020-05-09 15:48:00 UTC,012XX E 93RD ST,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,false,false,06,2020,-87.593139342,41.725875352
2020-07-08 10:00:00 UTC,105XX S LANGLEY AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.606300025,41.70228413
2020-06-20 02:30:00 UTC,016XX E 91ST PL,THEFT,OVER $500,STREET,false,false,06,2020,-87.583848946,41.728737822
2020-08-06 03:00:00 UTC,055XX N MC VICKER AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.779229735,41.982046624
